Company,Role,Type,Location,Status,Date Applied,Source,Notes
"[Found Chicago Boarding & Training Center](https://www.foundtrainingcenter.com)","Dog Handler / Dog Training Apprentice","Animal Care","Chicago, IL","APPLIED","2025-10-21","Indeed","Experience handling large breeds and maintaining safe play groups."
"[TeamLogic IT](https://www.teamlogicit.com)","Field IT Technician","IT Support","Chicago, IL (Hybrid)","APPLIED","2025-10-21","Indeed",""
"[Windy City Paws](https://www.windycitypaws.com)","Dog Walker","Animal Care","Lakeview, Chicago, IL","APPLIED","2025-10-21","Indeed",""
"[Chicago Cubs](https://www.mlb.com/cubs)","IT Help Desk Technician","IT Support","The Loop, Chicago, IL","APPLIED","2025-10-21","Company Website",""
"[The Phoenix Group](https://www.thephoenixgroup.com)","Help Desk Specialist","IT Support / Contract","River North, Chicago, IL (Hybrid)","APPLIED","2025-10-21","LinkedIn",""
"[Northwestern University](https://www.northwestern.edu)","Technical Support Specialist","IT Support","Evanston, IL","APPLIED","2025-10-21","Company Website",""
"[WillHire](https://www.willhire.co)","Cyber Security Intern","Cybersecurity / Internship (Remote)","United States (Remote)","APPLIED","2025-10-21","LinkedIn",""
"[Northwestern University](https://www.northwestern.edu)","Research Study Coordinator","Research","Evanston, IL","APPLIED","2025-10-21","Company Website",""
"[Northwestern University](https://www.northwestern.edu)","Program Assistant 4","Administrative","Evanston, IL","APPLIED","2025-10-21","Company Website",""
"[Northwestern University](https://www.northwestern.edu)","Data Assistant Associate","Data / Administrative","Evanston, IL","APPLIED","2025-10-21","Company Website",""
"[Tous Les Jours](https://www.tljus.com/)","Barista","Hospitality","Lakeview, Chicago, IL","APPLIED","2025-10-21","Indeed",""
"[Canonical](https://canonical.com/careers)","Engineering Manager","Software / Manager","Chicago, IL (Remote)","APPLIED","2025-10-21","Indeed",""
"[Paws and Claws Cat Rescue](https://www.pawsandclawscatrescue.org/)","Programs and Facilities Assistant","Animal Care / Assistant","Evanston, IL","APPLIED","2025-10-21","Indeed",""
"[Duke Animal Hospital](https://www.dukeanimalhospital.com/)","Veterinary Customer Service Representative","Animal Care","Chicago, IL","APPLIED","2025-10-21","Indeed","Combines communication skills with animal-care experience. Suited for fast-paced, client-facing environments."
"[Happy Camper](https://www.happycamper.pizza/)","Bartender","Hospitality","Chicago, IL","APPLIED","2025-10-21","Indeed",""
"[Museum of Ice Cream](https://www.museumoficecream.com/careers)","Service Ambassador","Hospitality","Chicago, IL","REJECTED","2025-10-21","Indeed",""
"[Capgemini](https://www.capgemini.com/)","Junior Data Analyst","Data Analyst","Chicago, IL / New York City, NY","APPLIED","2025-10-21","Handshake","Scientific and tech consulting"
"[The Peninsula — F&B Back Server Application](https://career10.successfactors.com/portalcareer?_s.crb=pOAhKgrGyC9ca%252b8vumVZ3dFeeNf%252bBXbckKb4n4aQz7s%253d)","Food & Beverage Server","Hospitality / Service / Restaurant","Chicago, IL","APPLIED","2025-10-20","Company Website",""
"[Business Development Sales Representative – Chicago, IL (January 2026 Start)](https://transportationinsight.wd1.myworkdayjobs.com/en-US/TI_NTG_External_Careers)","Business Development Sales Representative","Business / Sales","Chicago, IL","APPLIED","2025-10-20","Company Website",""
"[Insight Global](https://www.insightglobal.com)","Remote Data Analyst","IT / Data Analyst (Contract, Remote)","United States","APPLIED","2025-10-20","LinkedIn",""
"[Synergie Systems Inc.](https://www.synergiesystems.com)","Entry-Level Data Analyst","IT / Data Analytics (Full-Time, Remote)","United States","APPLIED","2025-10-20","LinkedIn",""
"[TELUS Digital AI Data Solutions](https://www.telusinternational.com/solutions/ai-data-solutions)","WFH English Speakers (Online Data Analyst)","AI / Data Annotation (Part-Time, Remote)","Wisconsin, United States","APPLIED","2025-10-20","LinkedIn",""
"[StellarBlue.ai](https://www.stellarblue.ai)","AI-Driven Full-Stack Developer","Software, AI Development","United States (Remote)","APPLIED","2025-10-20","LinkedIn",""
"[CyberCoders – Remote IT Support (Internal, Security)](https://www.linkedin.com/jobs/view/remote-it-support-%2470-%2490k-internal-security-at-cybercoders-3780836962/)","Remote IT Support - Internal & Security","IT Support","Philadelphia, PA (Remote)","APPLIED","2025-10-20","LinkedIn",""
"[Application Success – Business Continuity Planner](https://careers.morningstar.com/us/en/applythankyou?status=success&jobSeqNo=MORMORUSAP8200436EXTERNALENUS&jobTitle=Business%20Continuity%20Planner&jobId=AP-8200436&candidateHomeUrl=https://morningstar.wd5.myworkdayjobs.com/Americas/login?Job_Application_ID=JOB_APPLICATION-3-2213667&jobApplicationId=JOB_APPLICATION-3-2213667&candidateId=CANDIDATE-3-1483762)","Business Continuity Planner","IT / Business","Chicago, IL","REJECTED","2025-10-17","Company Website",""
"[Application Success – MDP Track: Direct Platform (Campus)](https://careers.morningstar.com/us/en/applythankyou?status=success&jobSeqNo=MORMORUSREQ052832EXTERNALENUS&jobTitle=MDP%20Track%3A%20Direct%20Platform%20(Campus)&jobId=REQ-052832&candidateHomeUrl=https://morningstar.wd5.myworkdayjobs.com/Americas/login?Job_Application_ID=JOB_APPLICATION-3-2213663&jobApplicationId=JOB_APPLICATION-3-2213663&candidateId=CANDIDATE-3-1483762)","MDP Track - Direct Platform (Campus)","Full-time (Early Career Program)","Chicago, IL","APPLIED","2025-10-17","Company Website",""
"[Barback — Avli Chicago](https://www.avli.us/careers)","Barback","Hospitality","Chicago, IL","APPLIED","2025-10-17","Indeed",""
"[Server — Avli Chicago](https://www.avli.us/careers)","Server","Hospitality","Chicago, IL","APPLIED","2025-10-17","Indeed",""
"[Host — Sunda Fulton Market](https://www.sundachicago.com/careers/)","Host","Restaurant / Service","Fulton Market, Chicago, IL","APPLIED","2025-10-17","Indeed",""
"[Veterinary Receptionist — PAWS Chicago](https://www.pawschicago.org/about-us/careers)","Veterinary Receptionist","Animal Care / Medical","Chicago, IL","APPLIED","2025-10-17","Indeed",""
"[Doggy Daycare Attendant / Dog Handler — Urban Pooch Canine Life Center](https://www.urbanpooch.com/employment/)","Doggy Daycare Attendant / Dog Handler","Animal Petcare / Pet Services","Chicago, IL","APPLIED","2025-10-17","Indeed",""
"[IT Support Specialist (Hybrid) — Erie Family Health Center](https://www.eriefamilyhealth.org/careers/)","IT Support Specialist (Hybrid)","Healthcare / IT","Chicago, IL","REJECTED","2025-10-17","Indeed",""
"[Barback — Z Bar, The Hongkong and Shanghai Hotels, Limited (Chicago, IL)](https://www.peninsula.com/en/careers)","Barback","Hospitality","Chicago, IL","APPLIED","2025-10-17","Company Website",""
"[Front Desk Medical Receptionist — Erie Family Health Center](https://www.eriefamilyhealth.org/careers/)","Front Desk Medical Receptionist","Healthcare / Administration","Chicago, IL","APPLIED","2025-10-17","Company Website",""
"Eataly","Cashier","Retail / Service","River North, Chicago, IL","APPLIED","2025-10-15","LinkedIn",""
"[MUSEUM OF ICE CREAM](https://www.museumoficecream.com/careers)","Show Ambassador (Weekends Only)","Retail / Customer Service","Chicago, IL","REJECTED","2025-10-15","LinkedIn",""
"[Eataly](https://www.eataly.com/us_en/)","Cheesemonger / Salumi & Formaggi Artisan","Culinary / Retail","River North, Chicago, IL","APPLIED","2025-10-15","LinkedIn",""
"[Eataly](https://www.eataly.com/us_en/)","Cashier / Front End Associate – Seasonal","Retail / Service","Chicago, IL","APPLIED","2025-10-15","LinkedIn",""
"[Comfort Dental Fairwood](https://www.comfortdental.com/)","Office Assistant","Admin / Office Support","Chicago, IL","APPLIED","2025-10-15","ZipRecruiter",""
"[TDS](https://tdstelecom.com/careers)","GIS Intern","GIS / Environmental","Remote","APPLIED","2025-10-13","LinkedIn",""
"[LeoLabs](https://www.leolabs.space/careers)","Electrical Engineer","Engineering","Remote","APPLIED","2025-10-13","LinkedIn",""
"[Robert Half](https://www.roberthalf.com/jobs)","Part-Time Admin Assistant","Admin","Chicago, IL","APPLIED","2025-10-03","LinkedIn",""
"[Robert Half](https://www.roberthalf.com/jobs)","Medical Coder","Healthcare / IT","Chicago, IL","APPLIED","2025-10-03","LinkedIn",""
"[Robert Half](https://www.roberthalf.com/jobs)","Azure Data Architect","Cloud / Data","Remote","APPLIED","2025-10-03","LinkedIn",""
"[Robert Half](https://www.roberthalf.com/jobs)","IT Site Discovery & Infrastructure Coordinator","IT Infrastructure","Chicago, IL","APPLIED","2025-10-03","LinkedIn",""
"[Robert Half](https://www.roberthalf.com/jobs)","Help Desk Analyst II","IT Support","Chicago, IL","APPLIED","2025-10-03","LinkedIn",""
"[Robert Half](https://www.roberthalf.com/jobs)","Desktop Support Analyst","IT Support","Chicago, IL","APPLIED","2025-10-03","LinkedIn",""
"[Robert Half](https://www.roberthalf.com/jobs)","Help Desk Analyst","IT Support","Chicago, IL","APPLIED","2025-10-03","LinkedIn",""
"[AllJoined](https://alljoined.com)","Software Engineering Research Intern","Software / Research","Remote","APPLIED","2025-10-02","LinkedIn",""
"[Bark Bark Club](https://www.barkbarkclub.com/)","Dog Daycare Attendant","Animal Care","Chicago, IL","APPLIED","2025-09-23","Indeed",""
"[Bark Bark Club](https://www.barkbarkclub.com/)","Dog Daycare Attendant (Full-Time)","Animal Care","Chicago, IL","OTHER","2025-09-23","Indeed",""
"[Mercor](https://www.mercor.io/)","English Support","IT / Support","Remote","APPLIED","2025-09-19","LinkedIn",""
"[Mercor](https://www.mercor.io/)","Enterprise Cloud Domain Support","Cloud / IT","Remote","APPLIED","2025-09-19","LinkedIn",""
"[Mercor](https://www.mercor.io/)","Intelligent Identity Engineer","Security / IT","Remote","APPLIED","2025-09-19","LinkedIn",""
"[Mercor](https://www.mercor.io/)","Software Eng. Code Review (Rust)","Software","Remote","REJECTED","2025-09-19","LinkedIn",""
"[Mercor](https://www.mercor.io/)","Data Engineer","Data","Remote","APPLIED","2025-09-19","LinkedIn",""
"[RWE](https://www.rwe.com/careers)","IT Graduate Program","IT / Graduate","Remote","REJECTED","2025-09-17","LinkedIn",""
"[Morningstar](https://www.morningstar.com/careers)","Development Program for Technologists","Software / Data","Chicago, IL","APPLIED","2025-09-17","LinkedIn",""
"[Epsilon](https://www.epsilon.com/us/about-us/careers)","New Grad Program","Software","Chicago, IL","APPLIED","2025-09-17","LinkedIn",""
"[Datadog](https://www.datadoghq.com/careers/)","Product Manager Intern","Product","Chicago, IL","REJECTED","2025-09-10","LinkedIn",""
"[Capgemini (France)](https://www.capgemini.com/careers/)","Apprenticeship","Software","France","REJECTED","2025-09-08","LinkedIn",""
"[Ravenswoof](https://www.ravenswoof.com/?gad_source=1&gad_campaignid=22676922603&gbraid=0AAAAAqwvntwaAuii5WDQFzZqKpMl_f7ry&gclid=CjwKCAjw0sfHBhB6EiwAQtv5qdE4YxOPjDwyfsH15ohUFJVWXrIDCo2LDEYh-97qlAet5LVunlU0LhoCB3sQAvD_BwE)","Pet Bather","Animal Care","Chicago, IL","APPLIED","2025-09-07","Indeed",""
"[Ravenswoof](#)","Pet Bather","Animal Care","Chicago, IL","CLOSED","2025-09-07","Indeed",""
"[Robert Half](https://www.roberthalf.com/jobs)","Desk Support Technician","IT Support","Chicago, IL","APPLIED","2025-09-06","LinkedIn",""
"[Optimum Healthcare IT](https://www.optimumhit.com/careers)","Entry-Level Healthcare IT Analyst","IT / Healthcare","Remote","APPLIED","2025-09-06","LinkedIn",""
"[GreenLoop IT Solutions](https://www.greenloopit.com/careers)","IT Support Specialist","IT Support","Remote","APPLIED","2025-09-06","LinkedIn",""
"[Pimlico Enterprises](https://www.pimlicoenterprises.com/careers)","Data Analyst Intern","Data","Remote","APPLIED","2025-09-06","LinkedIn",""
"[Kemon Marketing](https://www.kemonmarketing.com/careers)","Prompt Engineer","AI / Tech","Remote","APPLIED","2025-09-06","LinkedIn",""
"[Musing AI](https://www.musing.ai/careers)","Software Engineer Intern","Software","Remote","APPLIED","2025-09-06","LinkedIn",""
"[Reverb](https://reverb.com/jobs)","IT Support Specialist","IT Support","Chicago, IL","APPLIED","2025-09-06","LinkedIn",""
"[RKON](https://www.rkon.com/careers)","Analyst (Tier I) — End User Engineering","IT Support","Chicago, IL","APPLIED","2025-09-06","LinkedIn",""
"[Fairlife](https://www.fairlife.com/careers)","Data Science Intern","Data","Chicago, IL","APPLIED","2025-09-06","LinkedIn",""
"[Datadog](https://www.datadoghq.com/careers/)","Senior Enterprise IT Support Tech","IT Support","Chicago, IL","APPLIED","2025-09-06","LinkedIn",""
"[Datadog](https://www.datadoghq.com/careers/)","Internship","Software / Data","Chicago, IL","APPLIED","2025-09-06","LinkedIn",""
"[RealtyAds](https://www.realtyads.com/careers)","Junior Software Engineer","Software","Chicago, IL","APPLIED","2025-09-05","LinkedIn",""
"[University of Chicago – Harris School of Public Policy](https://harris.uchicago.edu/)","Harris Social Impact Fellowship","Policy / Research","Chicago, IL","APPLIED","2025-09-05","LinkedIn",""
"[SPAATECH, Inc](https://www.spaatech.com/)","Business Development Representative – Technology Solutions","Business / IT","Chicago, IL","APPLIED","2025-09-05","LinkedIn",""
"[Green Paws Chicago](https://greenpawschicago.com/)","Dog Walker & Pet Sitter","Animal Care","Chicago, IL","APPLIED","2025-09-05","Indeed",""
"[AESLIN Pup Hub](https://aeslin.com/)","Dog Daycare & Boarding Handler","Animal Care","Chicago, IL","APPLIED","2025-09-05","Indeed",""
"[AESLIN Pup Hub](#)","Dog Daycare & Boarding Handler","Animal Care","Chicago, IL","CLOSED","2025-09-05","Indeed",""
"[My Net Security, Inc.](#)","IT Technician","IT Support","Chicago, IL","APPLIED","2025-09-04","Indeed",""
"[Taylor Farms Illinois](https://www.taylorfarms.com/careers/)","Label Room Technician","Manufacturing / Ops","Chicago, IL","APPLIED","2025-09-04","Indeed",""
"[Creative Tech](#)","IT Field Technician","IT Support","Skokie, IL","OTHER","2025-09-04","Indeed",""
"[Fernwood Property Mgmt](#)","Maintenance Admin Intern","Admin / Operations","Chicago, IL","APPLIED","2025-09-04","Indeed",""
"[Trump Intl. Hotel Chicago](https://www.trumphotels.com/chicago/careers)","Security Intern","Security / Ops","Chicago, IL","REJECTED","2025-09-04","Indeed",""
"[Green Paws Chicago](https://greenpawschicago.com/)","Dog Walker & Pet Sitter","Animal Care","Chicago, IL","CLOSED","2025-09-04","Indeed",""
"[Capgemini](https://www.capgemini.com/careers)","Business Analyst","Business / IT","Remote","APPLIED","2025-09-01","LinkedIn",""
"[Momotaro](https://www.bokagrp.com/careers)","Food Runner","Service","Fulton Market, Chicago, IL","APPLIED","2025-08-29","Indeed",""
"[PAWS Chicago](https://www.pawschicago.org/about-us/careers)","Veterinary Assistant Apprentice","Animal Care","Little Italy / Medical District, Chicago, IL","REJECTED","2025-08-29","Indeed",""
"[Wakamono](https://www.wakamonosush)","Food Runner","Service","Chicago, IL","APPLIED","2025-08-29","Indeed",""
"[PAWS Chicago](https://www.pawschicago.org/about-us/careers)","Adoption Services Associate","Animal Care / Service","Chicago, IL","APPLIED","2025-08-29","Indeed",""
"[Wakamono](#)","Food Runner","Service","Chicago, IL","APPLIED","2025-08-29","Indeed",""
"[METTLER TOLEDO](https://www.mt.com/us/en/home/careers.html)","Software Engineer","Software","Changzhou Shi, China","APPLIED","2025-08-07","LinkedIn",""
"[Supernova Companies](https://www.supernovacompanies.com/careers)","Entry Level Software Engineer","Software","Chicago, IL","APPLIED","2025-08-07","LinkedIn",""
"[Supernova Companies](https://www.supernovacompanies.com/careers)","Data Analyst","Data","Chicago, IL","APPLIED","2025-08-07","LinkedIn",""
"[Magnifact](https://www.magnifact.com/careers)","Data Analyst – SQL / ETL","Data","Chicago, IL","APPLIED","2025-07-30","LinkedIn",""
"[Dominican University](https://www.dom.edu/hr/employment-opportunities)","Web Developer","Software / Web","Chicago, IL","APPLIED","2025-07-30","LinkedIn",""
"[Capgemini America Inc.](https://www.capgemini.com/us-en/careers/)","Chicago Junior Developer","Software","Chicago, IL / New York, NY","INTERVIEW","2025-07-30","LinkedIn",""
"[Oak Street Health](https://www.oakstreethealth.com/careers)","Medical Scribe","Healthcare / IT","Chicago, IL","APPLIED","2025-07-26","LinkedIn",""
"[SFORCE IT](https://www.sforceit.com/)","Robotic Process Automation Developer","Automation / IT","Chicago, IL / Dallas, TX","APPLIED","2025-07-26","LinkedIn",""
"[Sunixa Solutions Inc.](https://sunixasolutions.com/careers)","AI/ML Engineer","AI / Software","Remote","APPLIED","2025-07-26","LinkedIn",""
"[SoftStandard Solutions](https://www.softstandard.com/careers)","Data Engineer – Python Development with AI/ML","Data / AI","Remote","APPLIED","2025-07-26","LinkedIn",""
"[SoftStandard Solutions](https://www.softstandard.com/careers)","Python Developer","Software","Remote","APPLIED","2025-07-26","LinkedIn",""
"[Fovus Corporation](https://fovus.com/careers)","Software Development Engineer","Software","Remote","APPLIED","2025-07-26","LinkedIn",""
"[Washington State Department of Ecology](https://ecology.wa.gov/About-us/Jobs)","IT Business Analyst – Journey","IT / Analysis","Lacey, WA","APPLIED","2025-07-25","LinkedIn",""
"[The UPS Store](https://www.theupsstore.com/careers)","Student Position — Rogers Park","Retail / Customer Service","Rogers Park, Chicago, IL","APPLIED","2025-07-25","LinkedIn",""
"[Blick Art Materials](https://www.dickblick.com/careers/)","Retail Sales Associate — Loop","Retail","Chicago, IL","APPLIED","2025-07-25","LinkedIn",""
"[AA Software & Networking](https://aasoftware.com/)","Java Developer","Software","Remote","APPLIED","2025-07-25","LinkedIn",""
"[Tubman Technologies](#)","Java Developer","Software","Remote","APPLIED","2025-07-25","LinkedIn",""
"[Chicago Youth Centers](https://chicagoyouthcenters.org/careers)","STEAM Intern","Education / Nonprofit","Chicago, IL","APPLIED","2025-07-25","LinkedIn",""
"[The Bridge Teen Center](https://thebridgeteencenter.org/)","Horticulture Plant Propagation Intern","Environmental / Education","Orland Park, IL","APPLIED","2025-07-25","LinkedIn",""
"[American Red Cross](https://www.redcross.org/about-us/careers.html)","Fundraising & Strategy Intern","Nonprofit / Strategy","Remote","APPLIED","2025-07-25","LinkedIn",""
"[SCB Global](https://www.scbglobal.com/)","Data Support Engineer","IT Support","Remote / Chicago, IL","APPLIED","2025-07-25","Handshake",""
"[ifm efector inc](https://www.ifm.com/)","Software Developer, SAP Applications","Software","Remote / Chicago, IL","APPLIED","2025-07-25","Handshake",""
"[Antra Inc.](https://www.antra.com/careers)","Java Full Stack Developer","Software","Hybrid / Chicago, IL / Sterling, VA","APPLIED","2025-07-25","Handshake",""
"[Supernova Companies](https://www.supernovacompanies.com/careers)","Program Analyst","Data / Business","Chicago, IL","APPLIED","2025-07-25","Handshake",""
"[Aclipse](https://www.aclipse.net/)","Teach English in Korea","Education / International","Seoul, South Korea","APPLIED","2025-07-25","Handshake",""
"[PAWS Chicago](https://www.pawschicago.org/about-us/careers)","Adoption Services Associate","Animal Care / Service","Chicago, IL","APPLIED","2025-07-20","Indeed",""
"[Lawrence Fish Market](#)","Sushi Chef Assistant","Culinary","Chicago, IL","CLOSED","2025-07-20","Indeed",""
"[Eataly North America](https://www.eataly.com/us_en/)","Fishmonger — Raw Bar & Oyster","Culinary","Chicago, IL","CLOSED","2025-07-20","Indeed",""
"[City Winery Chicago](https://citywinery.com/chicago)","Service Assistant","Service","Chicago, IL","CLOSED","2025-07-20","Indeed",""
"[Cadinho Bakery & Cafe](#)","Food Service Associate","Food Service","Chicago, IL","CLOSED","2025-07-20","Indeed",""
"[Montelimar Bread Co.](#)","Farmers Market Vendor","Food Service","Evanston, IL","CLOSED","2025-07-20","Indeed",""
"[Anti-Cruelty Society](https://anticruelty.org/careers)","Animal Care Specialist","Animal Care","Chicago, IL","CLOSED","2025-07-20","Indeed",""
"[Fire Hydrant Pet Sitting Co.](https://www.firehydrantpetsitting.com/)","Overnight Pet Care Specialist","Animal Care","Chicago, IL","REJECTED","2025-07-20","Indeed",""
"[Thornton Tomasetti](https://www.thorntontomasetti.com/careers)","IT Support Technician","IT Support","Chicago, IL","CLOSED","2025-07-20","Indeed",""
"[Lincoln Park Art Gallery](#)","Art Gallery Assistant","Arts / Admin","Chicago, IL","REJECTED","2025-07-20","Indeed",""
"[Advance Spine Rehab Center](#)","IT Personnel — As Needed","IT Support","Chicago, IL","CLOSED","2025-07-20","Indeed",""
"[PAWS Chicago](https://www.pawschicago.org/about-us/careers)","Veterinary Assistant Apprentice","Animal Care / Service","Chicago, IL","REJECTED","2025-07-20","Indeed",""
"[Lawrence Fish Market](https://ct.lawrencefish.com/)","Sushi Chef Assistant","Culinary","Chicago, IL","APPLIED","2025-07-20","Indeed",""
"[New Home Star](https://www.newhomestar.com/careers)","AI Intern","AI / Real Estate","Hybrid / Elmhurst, IL","APPLIED","2025-07-20","Handshake",""
"[Energy Solutions](https://energy-solution.com/careers)","Solar Programs Associate","Energy / Environmental","Hybrid / Portland, OR / Oakland, CA","APPLIED","2025-07-20","Handshake",""
"[Council of International Programs Chicago](https://www.cipchicago.org/)","Web Designer / Developer Intern","Nonprofit / Web","Remote / Chicago, IL / Bensenville, IL","APPLIED","2025-07-20","Handshake",""
"[Wesco](https://www.wesco.com/careers)","IT Development Program (2026)","IT / Graduate","Hybrid / Glenview, IL / Pittsburgh, PA","APPLIED","2025-07-20","Handshake",""
"[DataCapable](https://www.datacapable.com/careers)","Software Engineer","Software","Remote / Chicago, IL","APPLIED","2025-07-20","Handshake",""
"[GenieAI](https://www.genieai.co/)","Software Engineer","AI / Software","Remote","APPLIED","2025-07-20","Handshake",""
"[Northwestern Mutual Chicagoland](https://chicagoland.nm.com/careers.htm)","Financial Advisor","Finance / Insurance","Evanston, IL","APPLIED","2025-07-09","Handshake",""
"[Blue Cross Blue Shield (HCSC)](https://jobs.hcsc.com/)","Associate Systems Analyst","Healthcare / IT","Hybrid / Chicago, IL","APPLIED","2025-06-27","Handshake",""
"[Epic Systems Corporation](https://careers.epic.com/)","Software Developer","Software","Onsite / Verona, WI","APPLIED","2025-06-27","Handshake",""
"[Belay Diagnostics](https://belaydiagnostics.com/careers)","Intern, Technical Project & Systems Management","Biotech / IT","Hybrid / Chicago, IL","APPLIED","2025-06-26","Handshake",""
"[Siemens Digital Industries Software](https://www.siemens.com/global/en/company/jobs.html)","Software Development Intern","Software","Hybrid / Marlborough, MA / Huntsville, AL","APPLIED","2025-06-26","Handshake",""
"[Vantero](https://vantero.ai/)","Software Engineering / LLM Intern","AI / Software","Remote","APPLIED","2025-06-26","Handshake",""
"[Catholic Extension](https://www.catholicextension.org/about/careers/)","AI Data Strategy Intern","AI / Nonprofit","Onsite / Chicago, IL","OTHER","2025-06-26","Handshake",""
"[Fynite Corp.](https://fynite.ai/careers)","Data Scientist","Data","Remote / U.S.","APPLIED","2025-06-26","Handshake",""
"[Fynite Corp.](https://fynite.ai/careers)","Data Engineer","Data","Remote / U.S.","OTHER","2025-06-26","Handshake",""
"[Kids STEM Studio](https://kidsstemstudio.com/)","After School Instructor","Education / Tech","Evanston, IL","OTHER","2025-05-16","Indeed",""
"[Google](https://careers.google.com/students/)","Student Researcher (BS/MS)","Research / Software","Hybrid / Ann Arbor, MI / Austin, TX","APPLIED","2025-05-12","Handshake",""
"[Sweet Rabbit Bakery](#)","Part-Time FOH","Service","Chicago, IL","OTHER","2025-05-08","Indeed",""
"[Fusion92](https://www.fusion92.com/careers)","Internship Program","Marketing / Data","Chicago, IL","CLOSED","2025-05-08","Indeed",""
"[APCIA](https://www.apci.org/)","IT Systems Support Intern","IT Support","Chicago, IL","CLOSED","2025-05-08","Indeed",""
"[C4 Chicago](https://www.c4chicago.org/)","Development Intern","Nonprofit / Dev","Chicago, IL","CLOSED","2025-05-08","Indeed",""
"[Blueera Technologies, Inc.](https://blueeratech.com/careers)","DevOps Engineer","Software / IT","Remote / Indiana / TX","APPLIED","2025-05-07","Handshake",""
"[The Public Interest Network Creative Team](https://publicinterestnetwork.org/jobs/)","Web & Digital Content Intern","Communications / Web","Remote / Chicago, IL / Boston, MA","APPLIED","2025-05-07","Handshake",""
"[Bark Bark Club](https://www.barkbarkclub.com/)","Dog Daycare Attendant (Part-Time)","Animal Care","Chicago, IL","CLOSED","2025-04-18","Indeed",""
